Performance Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Client A,,,,Client B,,,,Server,,,,,,,,Server,,,,,,,,,,,,,,,,,,,,,,,
No Synchronisation,,,,No Synchronisation,,,,No Synchronisation,,,,Memory Profiling,,,,"Memory Profiling, No Synchronisation",,,,,,,,,,,,,,,,,,,,,,,
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,," 108,689,927,744 bytes allocated in the heap",," 110,998,420,816 bytes allocated in the heap",," 111,406,259,120 bytes allocated in the heap",," 110,357,780,944 bytes allocated in the heap",," 107,814,435,960 bytes allocated in the heap",," 113,187,357,704 bytes allocated in the heap",," 111,073,107,360 bytes allocated in the heap",," 111,912,653,784 bytes allocated in the heap",," 112,123,615,504 bytes allocated in the heap",,,,,,"105,270,088,240 bytes allocated in the heap"
Average:,,59.7251204386717,,Average:,,60.2557426637847,,Average:,,58.8896485885193,,Average:,4,3.23,,,  MUT     time   30.798s  ( 31.487s elapsed),,  MUT     time   31.142s  ( 31.695s elapsed),,  MUT     time   31.166s  ( 31.591s elapsed),,  MUT     time   30.858s  ( 31.257s elapsed),,  MUT     time   30.784s  ( 31.299s elapsed),,  MUT     time   31.403s  ( 31.792s elapsed),,  MUT     time   30.979s  ( 31.420s elapsed),,  MUT     time   30.805s  ( 31.376s elapsed),,  MUT     time   30.919s  ( 31.487s elapsed),,,,,,  MUT     time   29.945s  ( 30.460s elapsed)
Standard Deviation:,,0.652672391712866,,Standard Deviation:,,1.21893807293221,,Standard Deviation:,,0.435258583836113,,Standard Deviation:,0,0.067494855771055,,,  GC      time    1.033s  (  1.034s elapsed),,  GC      time    1.050s  (  1.052s elapsed),,  GC      time    1.026s  (  1.023s elapsed),,  GC      time    1.038s  (  1.030s elapsed),,  GC      time    1.021s  (  1.022s elapsed),,  GC      time    1.057s  (  1.050s elapsed),,  GC      time    1.049s  (  1.042s elapsed),,  GC      time    1.032s  (  1.033s elapsed),,  GC      time    1.029s  (  1.032s elapsed),,,,,,  GC      time    1.044s  (  1.042s elapsed)
,,,,,,,,,,,,,,,,,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,  RP      time    0.000s  (  0.000s elapsed),,,,,,  RP      time    0.000s  (  0.000s elapsed)
"Time Warp, Dead Reckoning, Client Side Prediction:",,,,"Time Warp, Dead Reckoning, Client Side Prediction:",,,,"Time Warp, Dead Reckoning, Client Side Prediction:",,,,Memory Profiling,,,,,  PROF    time    0.099s  (  0.204s elapsed),,  PROF    time    0.097s  (  0.107s elapsed),,  PROF    time    0.100s  (  0.104s elapsed),,  PROF    time    0.102s  (  0.105s elapsed),,  PROF    time    0.102s  (  0.106s elapsed),,  PROF    time    0.103s  (  0.105s elapsed),,  PROF    time    0.103s  (  0.108s elapsed),,  PROF    time    0.102s  (  0.106s elapsed),,  PROF    time    0.104s  (  0.109s elapsed),,,,,,  PROF    time    0.101s  (  0.111s elapsed)
Round,,FPS,,Round,,FPS,,Round,,FPS,,Round,Memory Usage,GC Time,,,  EXIT    time    0.020s  (  0.020s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.000s  (  0.000s elapsed),,  EXIT    time    0.005s  (  0.005s elapsed),,  EXIT    time    0.019s  (  0.019s elapsed),,  EXIT    time    0.014s  (  0.014s elapsed),,  EXIT    time    0.002s  (  0.002s elapsed),,,,,,  EXIT    time    0.020s  (  0.020s elapsed)
1,,59.9069053418703,,1,,60.1371196844283,,1,,47.3272310372746,,1,197,20.6,,,  Total   time   31.950s  ( 32.541s elapsed),,  Total   time   32.302s  ( 32.761s elapsed),,  Total   time   32.308s  ( 32.629s elapsed),,  Total   time   32.013s  ( 32.302s elapsed),,  Total   time   31.907s  ( 32.324s elapsed),,  Total   time   32.569s  ( 32.848s elapsed),,  Total   time   32.149s  ( 32.481s elapsed),,  Total   time   31.952s  ( 32.424s elapsed),,  Total   time   32.055s  ( 32.522s elapsed),,,,,,  Total   time   31.110s  ( 31.523s elapsed)
2,,57.5137433910282,,2,,62.0609109221805,,2,,47.6450778684653,,2,191,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
3,,60.027805673441,,3,,59.1569184272299,,3,,43.7584427787409,,3,203,20.7,,,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.2%  (3.1% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.3%  (3.2% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,  %GC     time       3.2%  (3.2% elapsed),,,,,,  %GC     time       3.4%  (3.3% elapsed)
4,,60.1994449505311,,4,,59.6896388631306,,4,,45.0642046098313,,4,203,20.5,,,,,,,,,,,,,,,,,,,,,,,,,
5,,59.6768002729909,,5,,60.1417614861891,,5,,48.8429550258737,,5,203,20.7,,,"  Alloc rate    3,529,156,611 bytes per MUT second",,"  Alloc rate    3,564,318,850 bytes per MUT second",,"  Alloc rate    3,574,581,772 bytes per MUT second",,"  Alloc rate    3,576,262,824 bytes per MUT second",,"  Alloc rate    3,502,319,129 bytes per MUT second",,"  Alloc rate    3,604,303,793 bytes per MUT second",,"  Alloc rate    3,585,474,086 bytes per MUT second",,"  Alloc rate    3,632,981,947 bytes per MUT second",,"  Alloc rate    3,626,336,258 bytes per MUT second",,,,,,"  Alloc rate    3,515,413,649 bytes per MUT second"
